File,Type,time,comparisons,exchanges
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\aasc50.dat, ll,0.0,306,153
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\aasc50.dat, qs,0.0009737014770507812,41650,41650
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\aasc50.dat, qs100,0.0,49,0
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\aasc50.dat, qs50,0.0,49,0
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\aasc50.dat, qsm,0.0,3002,2842
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_random_60k.dat, ll,0.2999999523162842,1723092,1287286
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_random_60k.dat, qs,0.1589813232421875,7818808143,7818808143
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_random_60k.dat, qs100,0.21301913261413574,212581684,213437418
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_random_60k.dat, qs50,0.15399932861328125,413425102,413784587
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_random_60k.dat, qsm,0.11999988555908203,2772236464,2771123628
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_same_20K.dat, ll,0.09096860885620117,537512,436535
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_same_20K.dat, qs,30.6280300617218,4354269785004,4354269785004
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_same_20K.dat, qs100,33.30200672149658,4326655504398,4326655504200
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_same_20K.dat, qs50,34.62699341773987,4340601992348,4340601992250
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_same_20K.dat, qsm,0.006000518798828125,166647,95596
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc10K.dat, ll,0.020015716552734375,138040,69033
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc10K.dat, qs,5.589009761810303,333242848499,333242848499
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc10K.dat, qs100,5.5589892864227295,328294391150,328294391051
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc10K.dat, qs50,5.544973134994507,330793552825,330793552776
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc10K.dat, qsm,0.017998933792114258,143373096,143297192
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc1K.dat, ll,0.0019986629486083984,10088,5044
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc1K.dat, qs,0.05199909210205078,333333000,333333000
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc1K.dat, qs100,0.0539705753326416,284039349,284039250
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc1K.dat, qs50,0.056000471115112305,308875924,308875875
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc1K.dat, qsm,0.0029993057250976562,1018414,1013806
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc20K.dat, ll,0.051000356674194336,296058,148043
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc20K.dat, qs,23.832998752593994,2666304696999,2666304696999
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc20K.dat, qs100,24.949032068252563,2646507625650,2646507625551
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc20K.dat, qs50,24.339001178741455,2656506087325,2656506087276
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc20K.dat, qsm,0.042967796325683594,573647360,573484720
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc2K.dat, ll,0.004001140594482422,22192,11106
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc2K.dat, qs,0.22199606895446777,2663049699,2663049699
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc2K.dat, qs100,0.21700406074523926,2465483550,2465483451
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc2K.dat, qs50,0.21196842193603516,2565205225,2565205176
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc2K.dat, qsm,0.004999637603759766,6026464,6013024
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc50.dat, ll,0.0,306,153
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc50.dat, qs,0.0009999275207519531,41650,41650
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc50.dat, qs100,0.0,49,0
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc50.dat, qs50,0.0,49,0
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc50.dat, qsm,0.0,3002,2842
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc500.dat, ll,0.0,4544,2272
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc500.dat, qs,0.014000415802001953,41666500,41666500
